NAME,TYPE,LOCATION,RESOURCE LINK
"EventBookingDb (product-sqlserver-database/EventBookingDb)","SQL database","Central India","https://portal.azure.com#resource/subscriptions/444ba101-86a6-4230-8b01-acb4c78b2193/resourceGroups/SmartRetail-RG/providers/Microsoft.Sql/servers/product-sqlserver-database/databases/EventBookingDb"
"nsg-backend","Network security group","Central India","https://portal.azure.com#resource/subscriptions/444ba101-86a6-4230-8b01-acb4c78b2193/resourceGroups/SmartRetail-RG/providers/Microsoft.Network/networkSecurityGroups/nsg-backend"
"nsg-frontend","Network security group","Central India","https://portal.azure.com#resource/subscriptions/444ba101-86a6-4230-8b01-acb4c78b2193/resourceGroups/SmartRetail-RG/providers/Microsoft.Network/networkSecurityGroups/nsg-frontend"
"product-sqlserver-database","SQL server","Central India","https://portal.azure.com#resource/subscriptions/444ba101-86a6-4230-8b01-acb4c78b2193/resourceGroups/SmartRetail-RG/providers/Microsoft.Sql/servers/product-sqlserver-database"
"ProductDb (product-sqlserver-database/ProductDb)","SQL database","Central India","https://portal.azure.com#resource/subscriptions/444ba101-86a6-4230-8b01-acb4c78b2193/resourceGroups/SmartRetail-RG/providers/Microsoft.Sql/servers/product-sqlserver-database/databases/ProductDb"
"SmartRetail-RG-Vnet","Virtual network","Central India","https://portal.azure.com#resource/subscriptions/444ba101-86a6-4230-8b01-acb4c78b2193/resourceGroups/SmartRetail-RG/providers/Microsoft.Network/virtualNetworks/SmartRetail-RG-Vnet"
"vm-backend","Virtual machine","Central India","https://portal.azure.com#resource/subscriptions/444ba101-86a6-4230-8b01-acb4c78b2193/resourceGroups/SmartRetail-RG/providers/Microsoft.Compute/virtualMachines/vm-backend"
"vm-backend-nsg","Network security group","Central India","https://portal.azure.com#resource/subscriptions/444ba101-86a6-4230-8b01-acb4c78b2193/resourceGroups/SmartRetail-RG/providers/Microsoft.Network/networkSecurityGroups/vm-backend-nsg"
"vm-backend421_z1","Network Interface","Central India","https://portal.azure.com#resource/subscriptions/444ba101-86a6-4230-8b01-acb4c78b2193/resourceGroups/SmartRetail-RG/providers/Microsoft.Network/networkInterfaces/vm-backend421_z1"
"vm-backend_OsDisk_1_83ce0ec14c0b480c85e288f460f11b72","Disk","Central India","https://portal.azure.com#resource/subscriptions/444ba101-86a6-4230-8b01-acb4c78b2193/resourceGroups/SMARTRETAIL-RG/providers/Microsoft.Compute/disks/vm-backend_OsDisk_1_83ce0ec14c0b480c85e288f460f11b72"
"vm-frontend","Virtual machine","Central India","https://portal.azure.com#resource/subscriptions/444ba101-86a6-4230-8b01-acb4c78b2193/resourceGroups/SmartRetail-RG/providers/Microsoft.Compute/virtualMachines/vm-frontend"
"vm-frontend-ip","Public IP address","Central India","https://portal.azure.com#resource/subscriptions/444ba101-86a6-4230-8b01-acb4c78b2193/resourceGroups/SmartRetail-RG/providers/Microsoft.Network/publicIPAddresses/vm-frontend-ip"
"vm-frontend-nsg","Network security group","Central India","https://portal.azure.com#resource/subscriptions/444ba101-86a6-4230-8b01-acb4c78b2193/resourceGroups/SmartRetail-RG/providers/Microsoft.Network/networkSecurityGroups/vm-frontend-nsg"
"vm-frontend383_z1","Network Interface","Central India","https://portal.azure.com#resource/subscriptions/444ba101-86a6-4230-8b01-acb4c78b2193/resourceGroups/SmartRetail-RG/providers/Microsoft.Network/networkInterfaces/vm-frontend383_z1"
"vm-frontend_OsDisk_1_5d7aa7f06ac84be3bcad94c4cf2d829d","Disk","Central India","https://portal.azure.com#resource/subscriptions/444ba101-86a6-4230-8b01-acb4c78b2193/resourceGroups/SMARTRETAIL-RG/providers/Microsoft.Compute/disks/vm-frontend_OsDisk_1_5d7aa7f06ac84be3bcad94c4cf2d829d"
